Site	year	DOY	time	T_R1	T_R0	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	89	13.0	301.91177798710135	279.7658730856793	0.0	292.908	279.271	3.97181	12.2597	992.594	947.292	638.791	314.851	1.0	3.0	1.0	1.0	1.0
1	2021	90	13.0	307.03965793024133	281.8560426709623	0.0	299.056	283.117	2.1401	2.9906299999999995	996.9189999999999	964.933	621.356	315.431	1.0	3.0	1.0	1.0	1.0
1	2021	91	13.0	307.2629901686392	283.42108365803784	0.0	299.609	284.844	2.70054	3.68665	992.259	952.009	621.613	325.945	1.0	3.0	1.0	1.0	1.0
1	2021	92	13.0	301.6709788739336	282.53128382105723	0.0	290.924	280.872	2.87318	12.6626	995.5330000000001	962.105	643.17	307.104	1.0	3.0	1.0	1.0	1.0
1	2021	93	13.0	299.2062516027291	282.49505595074044	0.0	288.194	281.065	3.53319	10.1537	999.0210000000001	948.007	641.728	300.561	1.0	3.0	1.0	1.0	1.0
1	2021	94	13.0	300.6083095219851	282.1764847232008	0.0	290.12	280.699	3.81535	10.0293	997.215	955.062	647.652	306.596	1.0	3.0	1.0	1.0	1.0
1	2021	96	13.0	299.02377290261865	281.58625560948917	0.0	288.117	280.147	4.48171	10.7277	994.3000000000001	953.679	651.302	301.873	1.0	3.0	1.0	1.0	1.0
1	2021	97	13.0	294.24664027966185	282.9116919697143	0.0	289.372	280.823	4.35033	9.60764	997.368	474.037	324.453	359.175	1.0	3.0	1.0	1.0	1.0
1	2021	98	13.0	300.3370975496042	282.9515403361213	0.0	289.767	282.228	5.17866	7.97211	996.821	985.537	668.284	299.323	1.0	3.0	1.0	1.0	1.0
1	2021	99	13.0	300.99837617077696	283.8439083653048	0.0	289.83	283.69	4.3709	8.73437	995.793	987.44	669.002	301.487	1.0	3.0	1.0	1.0	1.0
1	2021	100	13.0	298.65536815922366	282.3407543855057	0.0	288.606	281.538	6.35031	8.35735	992.253	978.319	665.581	295.15	1.0	3.0	1.0	1.0	1.0
1	2021	101	13.0	301.6550165316639	282.4630764201171	0.0	291.32	281.182	4.56449	10.0824	987.7189999999998	996.452	676.081	306.789	1.0	3.0	1.0	1.0	1.0
